synthetic_id,smiles,docking_score
SYN000167,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCC4)c3c2F)C1,-8.727
SYN000092,Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C,-8.167
SYN000056,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccc(Cl)cc4Cl)oc23)CC1,-10.21
SYN000081,CCNc1cccnc1N1CCN(C(=O)c2cc3c(C)c(OC)c(C)c(C)c3[nH]2)CC1,-8.732
SYN000124,C=CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.287
SYN000130,CCNc1cccnc1N1CCN(C(=O)c2ccc3ccccc3n2)CC1,-8.829
SYN000103,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,-9.099
SYN000066,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)C(C)(C)[C@@H]3O,-9.071
SYN000060,CCCC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(Oc2ccccc2)c1,-8.599
SYN000078,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,-8.756
SYN000154,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC[C@H](C)[C@H]3O,-8.834
SYN000071,O=C(c1ccc(Cl)cc1Cl)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,-8.481
SYN000026,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,-9.155
SYN000021,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@H]3O,-9.248
SYN000089,CCCC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(Oc2ccc(C)cc2)c1,-8.828
SYN000120,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCCC4)c3c2F)C1,-9.864
SYN000095,CC(C)=CC[C@@H](OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.509
SYN000180,CC(C)=CC[C@@H](OC(=O)C(Cl)(Cl)Cl)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.492
SYN000070,COc1ccnc(C[S+]([O-])c2nc3cc(OCC(F)(F)F)ccc3[nH]2)c1C,-7.894
SYN000100,C(=C1CCN(Cc2ccc(C3=NCCN3)cc2)CC1)c1ccc(C2=NCCN2)cc1,-8.876
SYN000151,CCNc1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3OC)cccc12,-8.109
SYN000149,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](CC)[C@@H](C)[C@@H]3O,-9.075
SYN000086,Clc1ccc2nc(N3CCNCC3)c(Sc3ccccc3)nc2c1,-8.785
SYN000074,C(=C1/CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,-10.17
SYN000109,CCCCc1nc2cnn(C)c(=O)c2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-8.233
SYN000029,Nc1nc2ccc(Cl)cc2c2nc(-c3ccc(Br)o3)nn12,-8.457
SYN000093,CN1CC=C(c2c(O)cc(O)c3c(=O)oc(-c4ccccc4Cl)cc23)CC1,-9.916
SYN000146,CCCCN(CCCC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23,-7.393
SYN000044,CN(C)CCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.41
SYN000114,CCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.355
SYN000032,CCCCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,-8.321
SYN000185,CC(C)(C)NCC(O)COC(=O)c1ccc(OCc2ccccc2)cc1,-7.24
SYN000016,C/C(=C\CC1OC(=O)NC1=O)c1cccc(OCc2nc(-c3ccccc3)oc2C)c1,-10.17
SYN000059,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,-7.547
SYN000179,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccc(Cl)cc4)oc23)CC1,-9.968
SYN000005,CN(C)CCCCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23,-7.945
SYN000033,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4cccc(Cl)c4)oc23)CC1,-9.786
SYN000112,CCCCc1nc2cnnc(O)c2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-8.565
SYN000072,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4F)oc23)CC1,-10.32
SYN000031,COc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4NC(C)(C)C)CC3)cc2c1,-8.312
SYN000042,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCOC(=O)NCCCl)CC3,-8.482
SYN000121,CCCC#CCN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1,-7.807
SYN000172,COC(=O)CC/C=C\CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/CC(C)(O)CCC1CC1,-6.441
SYN000076,C=CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.344
SYN000049,CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.421
SYN000117,CC(C)=CC[C@@H](OC(=O)c1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-9.226
SYN000131,COc1cc2nc(N3CCN(Cc4ccccc4)CC3)cc(N)c2cc1OC,-8.645
SYN000128,Cn1cc(C2=C(c3cn(CCCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.347
SYN000192,CCCc1cc(=O)oc2c(C(O)CC)c(OCC)c3c(c12)OC(C)(C)C=C3,-7.432
SYN000135,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)nc3)cccc12,-7.817
SYN000137,CCN(CC)CCNc1ccc2ncn3c4ccc(C)cc4c(=O)c1c23,-8.14
SYN000055,CCCc1cc(=O)oc2c(C(=O)C(C)C(C)(C)O)c(O)c3c(c12)OC(C)(C)C=C3,-8.737
SYN000178,Cn1cc(C2=C(c3cn(CCCCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.319
SYN000057,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Cl)nn3)cccc12,-7.92
SYN000007,CCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,-8.664
SYN000064,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,-7.832
SYN000150,Cn1cc(C2=C(c3cn(CCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.369
SYN000193,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccncc4)oc23)CC1,-9.217
SYN000177,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@@H](C)[C@H](C)[C@H]3O,-8.153
SYN000138,CCCCCCC(C(=O)O)n1cnc2cc(-c3ccccc3S(=O)(=O)O)ccc21,-7.81
SYN000170,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC,-7.029
SYN000184,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C(=O)c2ccco2)cc1,-8.301
SYN000098,Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.329
SYN000087,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)(C)CC3O,-8.264
SYN000047,CC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.632
SYN000123,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccc2)cc1,-9.482
SYN000041,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C/C=C/CC(C)C)cc1,-7.391
SYN000169,COC(=O)CC/C=C\CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/CC(C)(O)CCC1CCCC1,-7.365
SYN000105,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccn2)cc1,-9.107
SYN000165,CCCCCCN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1,-7.512
SYN000024,CCNc1cccnc1N1CCN(C(=O)c2cnc3ccccc3c2)CC1,-8.432
SYN000191,CCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.221
SYN000102,CCCc1cc(=O)oc2c(C(=O)[C@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3,-8.586
SYN000019,CC(C)(C)NCC(O)COC(=O)c1cccc(OCc2ccccc2)c1,-7.706
SYN000040,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1,-9.657
SYN000107,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Br)nn3)cccc12,-8.053
SYN000069,CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.135
SYN000080,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCCC)cc1,-8.881
SYN000094,COc1c(C)cc(C(=O)N2CCN(c3ncccc3NC(C)C)CC2)cc1C,-7.997
