action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,ligand_efficiency
,,32260,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL68920,,CHEMBL68920,7.39,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,41.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.041,19.25,0.37,2.94,8.93,
,,32263,[],CHEMBL621151,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL68920,,CHEMBL68920,6.52,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,300.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.3,,,,,
,,32265,[],CHEMBL615325,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL68920,,CHEMBL68920,5.11,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,7820.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,7.82,,,,,
,,32267,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL69960,,CHEMBL69960,6.77,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,170.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.17,14.02,0.27,3.16,6.03,
,,32270,[],CHEMBL621151,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL69960,,CHEMBL69960,7.40,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.04,,,,,
,,32272,[],CHEMBL615325,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL69960,,CHEMBL69960,6.36,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,440.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.44,,,,,
,,32680,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,,,CHEMBL1145114,J Med Chem,2003,CHEMBL137635,,CHEMBL137635,5.03,0,http://www.openphacts.org/units/Nanomolar,262238,=,1,1,=,,IC50,nM,,9300.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,9.3,13.62,0.25,0.26,6.40,
,,32770,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL306988,,CHEMBL306988,,0,http://www.openphacts.org/units/Nanomolar,137177,=,1,1,=,,IC50,nM,,500000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,500.0,,,,,
,Not Determined,32771,[],CHEMBL675639,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL306988,,CHEMBL306988,,0,http://www.openphacts.org/units/Nanomolar,137177,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,32772,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)/C=C/c1ccc(O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL66879,COUMARIC ACID,CHEMBL66879,,0,http://www.openphacts.org/units/Nanomolar,137215,=,1,1,=,,IC50,nM,,3000000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,3000.0,,,,,
,,32773,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,O=C(O)/C=C/c1ccc(O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL66879,COUMARIC ACID,CHEMBL66879,,0,http://www.openphacts.org/units/Nanomolar,137215,=,1,1,=,,Ki,nM,,1000000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,1000.0,,,,,
,,32780,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],,,CHEMBL1124610,J Med Chem,1989,CHEMBL77085,,CHEMBL77085,4.02,0,http://www.openphacts.org/units/Nanomolar,137197,=,1,1,=,,IC50,nM,,96000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,96.0,18.67,0.34,2.29,3.62,
