model,features,regime,ROC-AUC,PR-AUC,Accuracy,Enrichment_top10%
LR,F1,R,1.0,1.0,1.0,1.0
LR,F1,RS,1.0,1.0,1.0,1.0
LR,F2,R,0.5333333333333333,0.6595238095238095,0.625,0.0
LR,F2,RS,0.5333333333333333,0.6595238095238095,0.625,0.0
LR,F3,R,1.0,1.0,1.0,1.0
LR,F3,RS,1.0,1.0,0.875,1.0
RF,F1,R,1.0,1.0,1.0,1.0
RF,F1,RS,1.0,1.0,0.875,1.0
RF,F2,R,0.8333333333333334,0.9028571428571428,0.625,1.0
RF,F2,RS,0.6000000000000001,0.6595238095238095,0.625,1.0
RF,F3,R,1.0,1.0,1.0,1.0
RF,F3,RS,1.0,1.0,0.875,1.0
XGB,F1,R,1.0,1.0,0.875,1.0
XGB,F1,RS,1.0,1.0,1.0,1.0
XGB,F2,R,0.7333333333333334,0.81,0.5,1.0
XGB,F2,RS,0.5,0.6295238095238095,0.375,1.0
XGB,F3,R,1.0,1.0,0.875,1.0
XGB,F3,RS,0.9333333333333333,0.9666666666666667,0.75,1.0
