synthetic_id,smiles,docking_score
SYN000006,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)CC1,-7.869
SYN000186,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,-8.151
SYN000012,N#Cc1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,-10.02
SYN000115,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C1CC1)OCO3,-9.362
SYN000109,CC(C)=CC[C@@H](OC(=O)c1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.2
SYN000135,COc1cc2nc(N3CCN(c4ccccc4)CC3)cc(N)c2cc1OC,-7.809
SYN000049,COC(=O)CC/C=C\CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/CC(C)(O)CCC1CCC1,-8.407
SYN000192,CC(C)(C)NCC(O)COC(=O)c1cccc(OCc2ccccc2)c1,-7.447
SYN000042,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-8.628
SYN000065,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccco2)cc1,-8.902
SYN000157,COc1cc2nc(N3CCN(Cc4ccccc4)CC3)cc(N)c2cc1OC,-7.955
SYN000130,COC(=O)CC/C=C\CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/CC(C)(O)CCC1CC1,-8.821
SYN000050,Nc1nc(O)c2cc(S(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,-8.218
SYN000125,Cl.O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1,-9.425
SYN000181,CCCCCCC(C(=O)O)n1cnc2cc(-c3ccccc3S(=O)(=O)O)ccc21,-8.444
SYN000179,CCN(CC)CCNc1ccc2ncn3c4ccc(C(C)(C)C)cc4c(=O)c1c23,-9.969
SYN000051,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)C(C)(C)[C@H]3O,-8.021
SYN000060,CCNc1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3OC)cccc12,-8.612
SYN000174,CC(=O)OC[C@]1(C)CCC[C@@]2(C)C1[C@H](O)CC1C[C@H](OC(C)=O)[C@@]3(C)CC[C@]12C3,-8.263
SYN000061,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Cl)nn3)cccc12,-8.193
SYN000076,CCCCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,-8.357
SYN000133,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)C(C)(C)[C@@H]3O,-7.927
SYN000082,COc1nc(Cl)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,-8.363
SYN000139,Cc1cc(Cl)nnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,-8.835
SYN000056,CCC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3,-10.31
SYN000120,CN(C)c1cccc2c(S(=O)(=O)Nc3ncc(Cl)cn3)cccc12,-9.845
SYN000046,CCNc1cccnc1N1CCN(C(=O)c2cnc3ccccc3c2)CC1,-10.21
SYN000112,CN(C)c1cccc2c(S(=O)(=O)Nc3ncc(Br)nc3O)cccc12,-8.549
SYN000148,CCNc1cccnc1N1CCN(C(=O)c2cc3c(C)c(OC)c(C)c(C)c3[nH]2)CC1,-8.174
SYN000129,CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-9.767
SYN000184,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@H](C)[C@@H]3O,-8.316
SYN000153,CCN(CC)CCNc1ccc2ncn3c4ccc(C)cc4c(=O)c1c23,-7.83
SYN000079,Cc1ccc(Sc2cncc3sc(/C=N/OCC(N)=O)cc23)cc1,-9.802
SYN000030,CCCc1cc(=O)oc2c(C(=O)C(C)C(C)(C)O)c(O)c3c(c12)OC(C)(C)C=C3,-9.463
SYN000147,CCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.454
SYN000074,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)C(F)(F)F)OCO3,-10.16
SYN000180,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccncc4)oc23)CC1,-8.471
SYN000070,C=CCC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-7.959
SYN000075,CC(C)(C)NCC(O)COC(=O)c1ccc(OCc2ccccc2)cc1,-6.699
SYN000169,FC(F)(F)c1ccc2nc(N3CCNCC3)c(Sc3ccccc3)nc2c1,-7.303
SYN000108,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccoc2)cc1,-6.916
SYN000126,Oc1ccc2c3c1O[C@H]1[C@H](N=C=S)CCC4C(C2)N(CC2CC2)CCC341,-8.589
SYN000041,CCCCCC(O)c1cccc(OCc2cccc(C(=O)OC)n2)c1,-7.457
SYN000104,Nc1nc(N)c2c(S(=O)(=O)c3ccc(Cl)c(Cl)c3)cccc2n1,-9.277
SYN000023,Nc1nc(S)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,-8.272
SYN000033,CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)[C@H](C4=CC(=O)OC4)C(=O)CC32O)C1,-9.777
SYN000145,COc1ccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2C(F)(F)F)ccc1=O,-6.342
SYN000161,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC,-7.904
SYN000071,CCCc1cc(=O)oc2c(C(=O)[C@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3,-8.457
SYN000132,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C(C)C)c3c2F)C1,-9.445
SYN000136,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C/C=C/CC(C)C)cc1,-10.05
SYN000170,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(=O)C1,-6.82
SYN000122,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,-9.345
SYN000067,CCCc1cc(=O)oc2c(C(=O)C(C)(C)C(C)O)c(O)c3c(c12)OC(C)(C)C=C3,-9.755
SYN000149,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC(F)(F)F)c3c2F)C1,-9.174
SYN000106,CCn1ncc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)O)cnc21,-8.55
SYN000171,Cl.O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,-9.957
SYN000091,CCCCCC(O)c1cccc(OCc2ccc(OCC(=O)OC)cc2)c1,-9.293
SYN000151,Nc1nc(N)c2c([S+]([O-])c3ccc(Cl)c(Cl)c3)cccc2n1,-8.12
SYN000152,CC(C)=CC[C@@H](OC(=O)C(Cl)(Cl)Cl)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-8.484
SYN000138,C(=C1/CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,-7.513
SYN000063,CNCCCn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21,-8.587
SYN000095,Cn1cc(C2=C(c3cn(CCCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,-8.493
SYN000194,CCCc1cc(=O)oc2c(C(=O)[C@@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3,-6.97
SYN000116,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,-8.041
SYN000031,Nc1nc2ccc(Cl)cc2c2nc(-c3ccc(Br)o3)nn12,-8.339
SYN000124,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@H]3O,-8.066
SYN000026,CCCCc1nc2cnnc(O)c2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-9.145
SYN000081,O=c1cc(-c2ccccc2Cl)oc2c(-c3cncnc3)c(O)cc(O)c12,-8.771
SYN000052,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)CC1,-8.841
SYN000088,COc1ccc([C@@H]2[C@@H](C(=O)O)[C@H](c3ccc4c(c3)OCO4)CN2C(=O)c2ccco2)cc1,-7.8
SYN000134,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)nc3)cccc12,-8.819
SYN000036,CC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-9.893
SYN000038,CCOCCN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1,-9.305
SYN000002,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccccc4)c3c2F)C1,-8.252
SYN000150,Cn1cc(C2=C(c3cn(CCCCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21,-9.33
SYN000178,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(C4CCCCC4)oc23)CC1,-9.306
SYN000107,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCC)cc1,-8.058
